InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,Year,Month,SalePrice
54981,1/28/2015,Germany,2149,GER1,Male,10.5,43-44,10,149,0,2015,1,149
54982,1/28/2015,United States,2162,US4,Male,9,42,8.5,169,0.5,2015,1,84.5
54983,1/28/2015,Germany,2217,GER2,Male,9,42,8.5,149,0.2,2015,1,119.2
54984,1/28/2015,Germany,2222,GER2,Male,9.5,42-43,9,159,0,2015,1,159
54985,1/28/2015,United Kingdom,2198,UK3,Male,9.5,42-43,9,129,0.2,2015,1,103.2
54986,1/28/2015,Canada,2219,CAN6,Male,9.5,42-43,9,179,0.3,2015,1,125.3
54987,1/28/2015,Germany,2161,GER2,Male,9.5,42-43,9,149,0.1,2015,1,134.1
54987,1/28/2015,Germany,2156,GER1,Male,9.5,42-43,9,139,0.5,2015,1,69.5
54988,1/28/2015,Germany,2225,GER2,Male,8.5,41-42,8,179,0,2015,1,179
54989,1/28/2015,Canada,2152,CAN6,Female,8,38-39,6,129,0.5,2015,1,64.5
54990,1/28/2015,United States,2238,US15,Female,7.5,38,5.5,199,0,2015,1,199
54991,1/29/2015,United States,2199,US15,Male,9.5,42-43,9,149,0.1,2015,1,134.1
54992,1/29/2015,United States,2156,US9,Male,8.5,41-42,8,159,0,2015,1,159
54993,1/29/2015,Germany,2164,GER3,Male,13,46,12.5,189,0,2015,1,189
54993,1/29/2015,Germany,2161,GER2,Male,9.5,42-43,9,149,0.1,2015,1,134.1
54994,1/29/2015,United Kingdom,2190,UK2,Male,9,42,8.5,179,0,2015,1,179
54995,1/29/2015,United States,2217,US12,Female,10.5,41,8.5,129,0.2,2015,1,103.2
54996,1/30/2015,Canada,2214,CAN2,Female,9.5,40,7.5,179,0.1,2015,1,161.1
54997,1/30/2015,Canada,2211,CAN2,Male,10,43,9.5,169,0.5,2015,1,84.5
54997,1/30/2015,Canada,2185,CAN6,Female,6,36-37,4,169,0,2015,1,169
54998,1/30/2015,United Kingdom,2207,UK5,Male,8,41,7.5,129,0,2015,1,129
54999,1/30/2015,United States,2222,US13,Female,10.5,41,8.5,169,0.1,2015,1,152.1
55000,1/30/2015,Germany,2163,GER3,Female,8.5,39,6.5,189,0.3,2015,1,132.3
55001,1/30/2015,Germany,2189,GER3,Male,10,43,9.5,189,0,2015,1,189
55001,1/30/2015,Germany,2192,GER1,Male,10,43,9.5,199,0.2,2015,1,159.2
55002,1/30/2015,Canada,2195,CAN6,Female,8.5,39,6.5,179,0,2015,1,179
55003,1/31/2015,Canada,2198,CAN2,Male,10,43,9.5,139,0,2015,1,139
55004,1/31/2015,United States,2222,US6,Male,8,41,7.5,169,0,2015,1,169
55005,1/31/2015,Canada,2148,CAN7,Male,10.5,43-44,10,129,0.2,2015,1,103.2
55005,1/31/2015,Canada,2211,CAN2,Male,10,43,9.5,169,0.5,2015,1,84.5
55006,1/31/2015,Germany,2192,GER1,Female,8.5,39,6.5,149,0,2015,1,149
55007,1/31/2015,Germany,2156,GER3,Female,9,39-40,7,129,0,2015,1,129
55008,1/31/2015,United States,2147,US14,Male,6.5,39,6,199,0.3,2015,1,139.3
55009,1/31/2015,United States,2156,US5,Male,11,44,10.5,139,0.2,2015,1,111.2
55010,1/31/2015,Germany,2156,GER1,Male,9.5,42-43,9,139,0.5,2015,1,69.5
55011,1/31/2015,United States,2191,US12,Female,7,37-38,5,149,0.3,2015,1,104.3
55012,1/31/2015,Germany,2157,GER1,Female,7.5,38,5.5,199,0.3,2015,1,139.3
55013,2/1/2015,Germany,2184,GER2,Female,8,38-39,6,169,0.1,2015,2,152.1
55014,2/1/2015,Germany,2226,GER2,Male,10,43,9.5,169,0,2015,2,169
55015,2/1/2015,United States,2197,US11,Female,8,38-39,6,149,0,2015,2,149
55016,2/1/2015,Germany,2158,GER2,Male,8,41,7.5,179,0.2,2015,2,143.2
55017,2/1/2015,Canada,2185,CAN6,Female,6,36-37,4,169,0,2015,2,169
55018,2/1/2015,United States,2187,US4,Male,8,41,7.5,149,0,2015,2,149
55019,2/1/2015,Canada,2214,CAN2,Female,9.5,40,7.5,179,0.1,2015,2,161.1
55020,2/1/2015,Canada,2148,CAN7,Male,10.5,43-44,10,129,0.2,2015,2,103.2
55021,2/1/2015,Germany,2152,GER1,Female,8.5,39,6.5,189,0.3,2015,2,132.3
55022,2/1/2015,Germany,2175,GER1,Female,8.5,39,6.5,179,0.1,2015,2,161.1
55023,2/1/2015,United States,2228,US15,Male,9.5,42-43,9,189,0,2015,2,189
55024,2/1/2015,United States,2199,US7,Female,8,38-39,6,129,0.3,2015,2,90.3
55025,2/1/2015,Canada,2232,CAN7,Female,9,39-40,7,179,0.2,2015,2,143.2
55026,2/1/2015,United States,2218,US4,Male,9,42,8.5,149,0,2015,2,149
55027,2/1/2015,United Kingdom,2172,UK5,Female,8.5,39,6.5,169,0.1,2015,2,152.1
55028,2/1/2015,United States,2171,US15,Female,11.5,42,9.5,149,0.3,2015,2,104.3
55029,2/2/2015,Germany,2158,GER2,Male,8,41,7.5,179,0.2,2015,2,143.2
55030,2/2/2015,United States,2222,US6,Male,8,41,7.5,169,0,2015,2,169
55031,2/2/2015,Canada,2157,CAN6,Female,9,39-40,7,159,0,2015,2,159
55032,2/2/2015,United States,2228,US15,Male,9.5,42-43,9,189,0,2015,2,189
55033,2/2/2015,United Kingdom,2170,UK4,Female,4.5,35,2.5,129,0.2,2015,2,103.2
55034,2/2/2015,Germany,2211,GER1,Male,8.5,41-42,8,189,0.5,2015,2,94.5
55035,2/2/2015,United Kingdom,2228,UK3,Female,8.5,39,6.5,189,0,2015,2,189
55036,2/2/2015,Canada,2160,CAN5,Male,9,42,8.5,169,0,2015,2,169
55037,2/2/2015,United States,2171,US9,Male,10.5,43-44,10,149,0,2015,2,149
55038,2/2/2015,Germany,2181,GER2,Male,9.5,42-43,9,199,0,2015,2,199
55039,2/2/2015,Germany,2215,GER2,Male,10,43,9.5,179,0,2015,2,179
55040,2/2/2015,United States,2207,US12,Female,8,38-39,6,179,0.2,2015,2,143.2
55041,2/2/2015,Canada,2172,CAN1,Male,9.5,42-43,9,179,0.2,2015,2,143.2
55042,2/3/2015,Germany,2238,GER1,Male,8.5,41-42,8,169,0.1,2015,2,152.1
55043,2/3/2015,United States,2233,US12,Male,10,43,9.5,179,0.3,2015,2,125.3
55043,2/3/2015,United States,2205,US6,Female,10,40-41,8,139,0.3,2015,2,97.3
55044,2/3/2015,United States,2191,US12,Female,7,37-38,5,149,0.3,2015,2,104.3
55045,2/3/2015,United States,2221,US9,Female,8,38-39,6,159,0,2015,2,159
55046,2/3/2015,United States,2165,US14,Male,9.5,42-43,9,179,0.3,2015,2,125.3
55047,2/3/2015,United Kingdom,2215,UK2,Female,4.5,35,2.5,159,0,2015,2,159
55048,2/3/2015,Canada,2151,CAN6,Male,10,43,9.5,159,0,2015,2,159
55049,2/3/2015,Germany,2214,GER2,Male,9.5,42-43,9,169,0.1,2015,2,152.1
55050,2/3/2015,Canada,2237,CAN6,Female,9,39-40,7,189,0.5,2015,2,94.5
55051,2/3/2015,Germany,2221,GER1,Female,10,40-41,8,149,0.1,2015,2,134.1
55052,2/3/2015,Germany,2157,GER1,Male,9.5,42-43,9,149,0.3,2015,2,104.3
55053,2/3/2015,United States,2156,US5,Male,11,44,10.5,139,0.2,2015,2,111.2
55054,2/3/2015,Germany,2149,GER1,Female,11.5,42,9.5,199,0.2,2015,2,159.2
55055,2/3/2015,United Kingdom,2215,UK5,Male,11,44,10.5,179,0.3,2015,2,125.3
55056,2/3/2015,United States,2238,US15,Female,7.5,38,5.5,179,0,2015,2,179
55057,2/3/2015,United States,2186,US13,Female,6.5,37,4.5,149,0,2015,2,149
55058,2/4/2015,United States,2236,US11,Female,8.5,39,6.5,129,0.5,2015,2,64.5
55059,2/4/2015,United States,2181,US13,Male,9,42,8.5,159,0,2015,2,159
55060,2/4/2015,Canada,2239,CAN6,Male,9,42,8.5,199,0.1,2015,2,179.1
55061,2/4/2015,United States,2222,US14,Female,4.5,35,2.5,169,0,2015,2,169
55062,2/4/2015,Canada,2152,CAN2,Female,9,39-40,7,179,0.2,2015,2,143.2
55063,2/4/2015,Germany,2225,GER2,Female,10,40-41,8,179,0,2015,2,179
55064,2/4/2015,Germany,2211,GER2,Female,7.5,38,5.5,159,0.5,2015,2,79.5
55065,2/4/2015,Germany,2154,GER2,Male,11.5,44-45,11,189,0.3,2015,2,132.3
55065,2/4/2015,Germany,2157,GER2,Female,9,39-40,7,129,0,2015,2,129
55066,2/4/2015,Germany,2192,GER1,Male,10,43,9.5,199,0.2,2015,2,159.2
55067,2/4/2015,United States,2233,US12,Female,8,38-39,6,199,0.3,2015,2,139.3
55068,2/4/2015,Canada,2205,CAN5,Male,9,42,8.5,199,0.1,2015,2,179.1
55069,2/5/2015,Canada,2230,CAN2,Male,12,45,11.5,129,0,2015,2,129
55070,2/5/2015,United States,2230,US13,Male,11,44,10.5,179,0,2015,2,179
55071,2/5/2015,Germany,2200,GER2,Female,7,37-38,5,129,0,2015,2,129
55072,2/5/2015,United Kingdom,2173,UK5,Female,7.5,38,5.5,149,0,2015,2,149
55073,2/5/2015,United States,2231,US14,Male,9,42,8.5,149,0,2015,2,149
55074,2/5/2015,United Kingdom,2190,UK2,Male,9,42,8.5,179,0,2015,2,179
55075,2/6/2015,United States,2205,US12,Female,7,37-38,5,179,0,2015,2,179
55076,2/6/2015,United States,2190,US14,Female,8,38-39,6,199,0,2015,2,199
55077,2/6/2015,United States,2175,US15,Male,9.5,42-43,9,179,0,2015,2,179
55078,2/6/2015,United States,2188,US15,Female,8,38-39,6,129,0,2015,2,129
55079,2/6/2015,United States,2151,US12,Male,9.5,42-43,9,149,0,2015,2,149
55080,2/6/2015,United States,2183,US15,Female,7.5,38,5.5,139,0,2015,2,139
55081,2/6/2015,Germany,2168,GER2,Female,7.5,38,5.5,169,0,2015,2,169
55082,2/6/2015,Canada,2172,CAN1,Male,9.5,42-43,9,179,0.2,2015,2,143.2
55083,2/7/2015,United States,2207,US14,Female,9.5,40,7.5,129,0.3,2015,2,90.3
55083,2/7/2015,United States,2205,US3,Male,7.5,40-41,7,169,0.1,2015,2,152.1
55084,2/7/2015,Canada,2230,CAN2,Male,12,45,11.5,129,0,2015,2,129
55085,2/7/2015,Canada,2198,CAN2,Male,10,43,9.5,139,0,2015,2,139
55086,2/7/2015,United States,2200,US12,Female,6.5,37,4.5,189,0.5,2015,2,94.5
55086,2/7/2015,United States,2173,US10,Male,10,43,9.5,129,0,2015,2,129
55087,2/7/2015,Canada,2214,CAN6,Female,9.5,40,7.5,149,0.3,2015,2,104.3
55088,2/7/2015,Germany,2188,GER1,Male,8,41,7.5,199,0,2015,2,199
55089,2/7/2015,United States,2227,US14,Female,6,36-37,4,139,0,2015,2,139
55090,2/7/2015,Germany,2199,GER2,Male,10,43,9.5,159,0,2015,2,159
55091,2/7/2015,Germany,2192,GER1,Male,10,43,9.5,199,0.2,2015,2,159.2
55092,2/7/2015,Canada,2157,CAN2,Male,7.5,40-41,7,189,0,2015,2,189
55093,2/7/2015,United Kingdom,2173,UK3,Female,8.5,39,6.5,179,0.2,2015,2,143.2
55094,2/8/2015,Canada,2173,CAN5,Female,7.5,38,5.5,159,0.1,2015,2,143.1
55095,2/8/2015,United States,2207,US12,Female,6.5,37,4.5,129,0.2,2015,2,103.2
55096,2/8/2015,United States,2170,US3,Male,10.5,43-44,10,149,0.1,2015,2,134.1
55097,2/8/2015,Germany,2200,GER2,Female,9,39-40,7,189,0.5,2015,2,94.5
55098,2/8/2015,Canada,2176,CAN3,Male,10.5,43-44,10,199,0,2015,2,199
55099,2/8/2015,United States,2237,US2,Female,7.5,38,5.5,189,0.3,2015,2,132.3
55100,2/8/2015,Canada,2173,CAN2,Female,9.5,40,7.5,199,0,2015,2,199
55101,2/8/2015,United States,2223,US12,Female,6.5,37,4.5,129,0,2015,2,129
55102,2/8/2015,United States,2169,US8,Female,8,38-39,6,199,0.3,2015,2,139.3
55103,2/8/2015,Canada,2213,CAN2,Female,7.5,38,5.5,149,0,2015,2,149
55104,2/8/2015,Germany,2188,GER2,Female,8.5,39,6.5,159,0,2015,2,159
55105,2/8/2015,United States,2151,US12,Male,9.5,42-43,9,149,0,2015,2,149
55106,2/9/2015,United States,2234,US14,Female,9.5,40,7.5,139,0,2015,2,139
55106,2/9/2015,United States,2191,US14,Female,11.5,42,9.5,159,0.2,2015,2,127.2
55107,2/9/2015,United States,2188,US5,Male,10.5,43-44,10,139,0.3,2015,2,97.3
55108,2/9/2015,Germany,2186,GER2,Male,9.5,42-43,9,159,0.2,2015,2,127.2
55109,2/9/2015,Germany,2196,GER2,Male,8,41,7.5,199,0.3,2015,2,139.3
55110,2/9/2015,United States,2190,US14,Female,8,38-39,6,199,0,2015,2,199
55111,2/9/2015,Canada,2218,CAN3,Male,10.5,43-44,10,179,0,2015,2,179
55111,2/9/2015,Canada,2203,CAN6,Female,9.5,40,7.5,169,0,2015,2,169
55112,2/9/2015,United States,2209,US15,Female,8,38-39,6,149,0.1,2015,2,134.1
55113,2/9/2015,Canada,2154,CAN6,Male,9.5,42-43,9,139,0,2015,2,139
55114,2/9/2015,United States,2190,US4,Female,8,38-39,6,139,0.5,2015,2,69.5
55115,2/9/2015,Canada,2198,CAN6,Male,8,41,7.5,179,0,2015,2,179
55116,2/9/2015,United States,2181,US15,Male,9.5,42-43,9,149,0.5,2015,2,74.5
55117,2/10/2015,Canada,2218,CAN7,Male,12,45,11.5,149,0.3,2015,2,104.3
55117,2/10/2015,Canada,2149,CAN6,Female,7.5,38,5.5,159,0,2015,2,159
55118,2/10/2015,United States,2189,US4,Male,10.5,43-44,10,129,0,2015,2,129
55119,2/10/2015,Germany,2186,GER2,Female,7.5,38,5.5,129,0,2015,2,129
55120,2/10/2015,United States,2227,US7,Female,7.5,38,5.5,199,0,2015,2,199
55121,2/10/2015,United Kingdom,2224,UK4,Female,7.5,38,5.5,199,0.5,2015,2,99.5
55122,2/10/2015,Germany,2214,GER2,Male,9.5,42-43,9,169,0.1,2015,2,152.1
55123,2/10/2015,United States,2150,US10,Female,10,40-41,8,149,0,2015,2,149
55124,2/10/2015,United States,2169,US8,Female,8,38-39,6,199,0.3,2015,2,139.3
55125,2/10/2015,United States,2226,US13,Male,10,43,9.5,179,0,2015,2,179
55126,2/10/2015,Germany,2235,GER1,Male,9.5,42-43,9,169,0.3,2015,2,118.3
55127,2/11/2015,United States,2237,US4,Male,8.5,41-42,8,139,0,2015,2,139
55128,2/11/2015,Germany,2222,GER3,Male,10.5,43-44,10,149,0.2,2015,2,119.2
55128,2/11/2015,Germany,2235,GER2,Male,11,44,10.5,149,0.5,2015,2,74.5
55129,2/11/2015,Canada,2173,CAN1,Male,10.5,43-44,10,169,0.5,2015,2,84.5
55130,2/11/2015,United States,2171,US15,Female,4.5,35,2.5,199,0.3,2015,2,139.3
55131,2/11/2015,Canada,2186,CAN1,Male,10.5,43-44,10,129,0.3,2015,2,90.3
55132,2/11/2015,United States,2190,US4,Female,8,38-39,6,139,0.5,2015,2,69.5
55133,2/11/2015,Canada,2165,CAN6,Female,8,38-39,6,139,0,2015,2,139
55134,2/12/2015,United States,2189,US4,Male,10.5,43-44,10,129,0,2015,2,129
55135,2/12/2015,Canada,2147,CAN6,Male,8,41,7.5,129,0.5,2015,2,64.5
55136,2/12/2015,United Kingdom,2214,UK4,Male,9.5,42-43,9,159,0.5,2015,2,79.5
55137,2/12/2015,United States,2228,US15,Male,9,42,8.5,179,0,2015,2,179
55138,2/12/2015,Germany,2222,GER3,Male,10.5,43-44,10,149,0.2,2015,2,119.2
55139,2/12/2015,United States,2237,US11,Male,9.5,42-43,9,199,0.2,2015,2,159.2
55140,2/12/2015,Germany,2175,GER1,Female,8,38-39,6,189,0,2015,2,189
55141,2/12/2015,Canada,2196,CAN2,Female,7.5,38,5.5,169,0,2015,2,169
55142,2/12/2015,United States,2169,US8,Female,8,38-39,6,199,0.3,2015,2,139.3
55143,2/12/2015,Germany,2152,GER2,Female,8.5,39,6.5,139,0,2015,2,139
55144,2/13/2015,Germany,2222,GER3,Female,7.5,38,5.5,129,0.5,2015,2,64.5
55145,2/13/2015,United Kingdom,2170,UK4,Female,4.5,35,2.5,129,0.2,2015,2,103.2
55146,2/13/2015,Germany,2229,GER2,Male,10,43,9.5,199,0.1,2015,2,179.1
55147,2/13/2015,Canada,2235,CAN1,Male,10,43,9.5,199,0.5,2015,2,99.5
55148,2/13/2015,Germany,2238,GER2,Male,9,42,8.5,129,0,2015,2,129
55148,2/13/2015,Germany,2181,GER1,Male,9.5,42-43,9,199,0.1,2015,2,179.1
55149,2/13/2015,United States,2201,US15,Male,8,41,7.5,199,0,2015,2,199
55150,2/13/2015,Germany,2229,GER2,Male,8,41,7.5,129,0.3,2015,2,90.3
55151,2/13/2015,Germany,2168,GER2,Female,8,38-39,6,179,0,2015,2,179
55152,2/13/2015,Canada,2179,CAN7,Female,7.5,38,5.5,159,0,2015,2,159
55153,2/13/2015,Canada,2222,CAN6,Female,6,36-37,4,129,0,2015,2,129
55154,2/13/2015,United States,2240,US15,Male,9.5,42-43,9,199,0.2,2015,2,159.2
55155,2/13/2015,Germany,2235,GER2,Male,11,44,10.5,149,0.5,2015,2,74.5
55156,2/14/2015,Canada,2155,CAN2,Male,12,45,11.5,199,0,2015,2,199
55156,2/14/2015,Canada,2235,CAN1,Male,10,43,9.5,199,0.5,2015,2,99.5
55157,2/14/2015,Germany,2221,GER1,Female,9,39-40,7,149,0,2015,2,149
55158,2/14/2015,Germany,2233,GER2,Male,11,44,10.5,159,0,2015,2,159
55158,2/14/2015,Germany,2238,GER2,Male,9,42,8.5,129,0,2015,2,129
55159,2/14/2015,United States,2179,US15,Male,8.5,41-42,8,139,0,2015,2,139
55160,2/14/2015,Germany,2236,GER3,Male,10,43,9.5,159,0.5,2015,2,79.5
55161,2/14/2015,Germany,2197,GER2,Female,8.5,39,6.5,189,0.1,2015,2,170.1
55162,2/14/2015,United Kingdom,2233,UK1,Male,10.5,43-44,10,169,0.5,2015,2,84.5
55163,2/14/2015,Germany,2232,GER3,Male,6.5,39,6,149,0.3,2015,2,104.3
55164,2/14/2015,Canada,2168,CAN5,Female,6,36-37,4,189,0,2015,2,189
55165,2/14/2015,United States,2167,US10,Male,6.5,39,6,159,0.2,2015,2,127.2
55166,2/15/2015,United States,2237,US14,Male,9.5,42-43,9,159,0,2015,2,159
55167,2/15/2015,Canada,2180,CAN6,Female,9,39-40,7,139,0.3,2015,2,97.3
55168,2/15/2015,United States,2241,US11,Male,10,43,9.5,129,0,2015,2,129
55169,2/15/2015,Germany,2217,GER2,Male,8.5,41-42,8,189,0,2015,2,189
55170,2/15/2015,Germany,2232,GER1,Male,9.5,42-43,9,159,0,2015,2,159
55171,2/15/2015,Germany,2182,GER1,Male,10,43,9.5,169,0,2015,2,169
55172,2/15/2015,United States,2226,US13,Male,10,43,9.5,179,0,2015,2,179
55173,2/15/2015,United Kingdom,2216,UK1,Male,8.5,41-42,8,149,0.5,2015,2,74.5
55174,2/15/2015,Germany,2150,GER1,Male,11,44,10.5,189,0,2015,2,189
55175,2/15/2015,Canada,2147,CAN6,Male,8,41,7.5,129,0.5,2015,2,64.5
55176,2/15/2015,Canada,2191,CAN2,Male,9.5,42-43,9,189,0,2015,2,189
55177,2/16/2015,Germany,2241,GER1,Male,11,44,10.5,169,0,2015,2,169
55178,2/16/2015,United Kingdom,2209,UK2,Female,8,38-39,6,149,0,2015,2,149
55179,2/16/2015,Germany,2226,GER2,Male,9.5,42-43,9,149,0,2015,2,149
55180,2/16/2015,United States,2227,US5,Female,5.5,36,3.5,199,0.2,2015,2,159.2
55181,2/16/2015,Germany,2179,GER2,Male,10,43,9.5,189,0,2015,2,189
55182,2/16/2015,Germany,2223,GER1,Female,8.5,39,6.5,129,0.3,2015,2,90.3
55183,2/16/2015,United States,2161,US15,Male,8.5,41-42,8,139,0,2015,2,139
55184,2/16/2015,United States,2161,US14,Female,7.5,38,5.5,169,0,2015,2,169
55184,2/16/2015,United States,2219,US14,Female,8,38-39,6,139,0.5,2015,2,69.5
55184,2/16/2015,United States,2174,US14,Female,9,39-40,7,169,0.1,2015,2,152.1
55185,2/16/2015,Canada,2165,CAN5,Female,9,39-40,7,149,0.3,2015,2,104.3
55186,2/16/2015,United States,2177,US7,Female,9,39-40,7,189,0,2015,2,189
55187,2/17/2015,Germany,2181,GER1,Male,9.5,42-43,9,199,0.1,2015,2,179.1
55188,2/17/2015,United States,2188,US5,Male,10.5,43-44,10,139,0.3,2015,2,97.3
55189,2/17/2015,Germany,2202,GER2,Male,9,42,8.5,149,0,2015,2,149
55190,2/17/2015,United States,2158,US8,Female,5.5,36,3.5,139,0,2015,2,139
55191,2/17/2015,United States,2233,US3,Male,9,42,8.5,149,0,2015,2,149
55191,2/17/2015,United States,2161,US15,Male,8.5,41-42,8,139,0,2015,2,139
55192,2/17/2015,United States,2157,US14,Male,10.5,43-44,10,169,0.3,2015,2,118.3
55193,2/17/2015,United States,2159,US9,Female,6,36-37,4,159,0.1,2015,2,143.1
55194,2/17/2015,United States,2158,US1,Male,10,43,9.5,179,0,2015,2,179
55194,2/17/2015,United States,2204,US8,Male,10.5,43-44,10,199,0,2015,2,199
55195,2/18/2015,United Kingdom,2215,UK1,Female,7.5,38,5.5,179,0.5,2015,2,89.5
55196,2/18/2015,United States,2223,US9,Male,10,43,9.5,129,0,2015,2,129
55197,2/18/2015,United Kingdom,2175,UK1,Female,8,38-39,6,139,0,2015,2,139
55198,2/18/2015,United States,2171,US14,Female,8,38-39,6,189,0.1,2015,2,170.1
55199,2/18/2015,Germany,2236,GER3,Male,10,43,9.5,159,0.5,2015,2,79.5
55200,2/18/2015,United States,2184,US5,Male,9,42,8.5,139,0,2015,2,139
55200,2/18/2015,United States,2233,US3,Male,9,42,8.5,149,0,2015,2,149
55200,2/18/2015,United States,2230,US3,Male,9,42,8.5,139,0,2015,2,139
55201,2/18/2015,United States,2217,US14,Male,9,42,8.5,199,0.3,2015,2,139.3
55202,2/18/2015,Canada,2180,CAN7,Male,12,45,11.5,189,0.3,2015,2,132.3
55203,2/18/2015,United States,2225,US1,Female,7.5,38,5.5,129,0,2015,2,129
55204,2/19/2015,United Kingdom,2184,UK3,Female,8,38-39,6,129,0,2015,2,129
55205,2/19/2015,Canada,2216,CAN1,Male,6,39,5.5,139,0.2,2015,2,111.2
55206,2/19/2015,United States,2240,US15,Male,9.5,42-43,9,199,0.2,2015,2,159.2
55207,2/19/2015,Canada,2199,CAN1,Female,8.5,39,6.5,169,0,2015,2,169
55208,2/19/2015,Germany,2181,GER1,Male,9.5,42-43,9,199,0.1,2015,2,179.1
55208,2/19/2015,Germany,2167,GER1,Male,12,45,11.5,199,0.3,2015,2,139.3
55209,2/19/2015,United States,2153,US15,Female,7.5,38,5.5,149,0.2,2015,2,119.2
55210,2/19/2015,United States,2235,US1,Male,11.5,44-45,11,169,0,2015,2,169
55211,2/19/2015,United States,2200,US8,Male,9,42,8.5,189,0,2015,2,189
55212,2/19/2015,United Kingdom,2210,UK5,Male,6.5,39,6,199,0,2015,2,199
55213,2/19/2015,Germany,2209,GER1,Male,9.5,42-43,9,199,0,2015,2,199
55214,2/19/2015,United States,2207,US12,Male,10.5,43-44,10,199,0.1,2015,2,179.1
55215,2/19/2015,Germany,2241,GER2,Female,8,38-39,6,129,0,2015,2,129
55216,2/19/2015,United States,2239,US4,Male,10,43,9.5,169,0,2015,2,169
55217,2/20/2015,United States,2166,US1,Male,10.5,43-44,10,129,0,2015,2,129
55218,2/20/2015,Germany,2228,GER2,Male,9.5,42-43,9,139,0,2015,2,139
55219,2/20/2015,United States,2218,US6,Male,11,44,10.5,139,0.3,2015,2,97.3
55220,2/20/2015,United States,2198,US12,Male,11,44,10.5,139,0,2015,2,139
55221,2/20/2015,Canada,2208,CAN3,Female,8.5,39,6.5,179,0.1,2015,2,161.1
55222,2/20/2015,Canada,2212,CAN3,Male,9,42,8.5,149,0,2015,2,149
55223,2/20/2015,Germany,2221,GER1,Female,6,36-37,4,129,0,2015,2,129
55224,2/20/2015,Germany,2151,GER2,Male,9,42,8.5,139,0.2,2015,2,111.2
55225,2/20/2015,United States,2150,US3,Female,8,38-39,6,169,0,2015,2,169
55226,2/20/2015,United Kingdom,2160,UK3,Male,10,43,9.5,159,0.1,2015,2,143.1
55227,2/21/2015,United States,2212,US15,Male,9,42,8.5,129,0,2015,2,129
55228,2/21/2015,United States,2204,US8,Male,10.5,43-44,10,199,0,2015,2,199
55229,2/21/2015,Germany,2156,GER1,Male,9.5,42-43,9,179,0,2015,2,179
55230,2/21/2015,Canada,2196,CAN1,Male,11,44,10.5,159,0,2015,2,159
55231,2/21/2015,United Kingdom,2207,UK1,Female,8,38-39,6,169,0.2,2015,2,135.2
55232,2/21/2015,Germany,2242,GER1,Male,10.5,43-44,10,179,0,2015,2,179
55233,2/21/2015,United States,2233,US15,Male,9.5,42-43,9,179,0,2015,2,179
55234,2/21/2015,Germany,2155,GER3,Male,15,48,14.5,159,0,2015,2,159
55235,2/21/2015,Germany,2154,GER1,Female,8,38-39,6,189,0.5,2015,2,94.5
55236,2/21/2015,Germany,2157,GER1,Male,9.5,42-43,9,149,0.3,2015,2,104.3
55237,2/21/2015,Germany,2229,GER2,Male,10,43,9.5,199,0.1,2015,2,179.1
55238,2/21/2015,United States,2226,US13,Male,10,43,9.5,149,0.5,2015,2,74.5
55239,2/21/2015,United Kingdom,2210,UK5,Male,6.5,39,6,199,0,2015,2,199
55240,2/22/2015,Germany,2175,GER3,Female,8.5,39,6.5,159,0,2015,2,159
55241,2/22/2015,United States,2221,US1,Male,8.5,41-42,8,129,0.1,2015,2,116.1
55242,2/22/2015,Germany,2195,GER3,Male,9,42,8.5,139,0,2015,2,139
55243,2/22/2015,United States,2158,US1,Male,10,43,9.5,179,0,2015,2,179
55244,2/22/2015,United States,2161,US14,Female,6.5,37,4.5,179,0,2015,2,179
55245,2/22/2015,United States,2197,US3,Female,10,40-41,8,179,0,2015,2,179
55246,2/22/2015,Canada,2177,CAN6,Female,9.5,40,7.5,189,0,2015,2,189
55247,2/22/2015,Germany,2160,GER1,Male,11,44,10.5,129,0,2015,2,129
55248,2/22/2015,Canada,2216,CAN7,Male,9.5,42-43,9,199,0,2015,2,199
55249,2/22/2015,United States,2160,US14,Male,9,42,8.5,189,0,2015,2,189
55250,2/22/2015,United Kingdom,2201,UK3,Male,11.5,44-45,11,169,0.5,2015,2,84.5
55251,2/22/2015,United States,2160,US13,Male,9.5,42-43,9,149,0.5,2015,2,74.5
55252,2/23/2015,Germany,2225,GER2,Female,10.5,41,8.5,169,0,2015,2,169
55253,2/23/2015,Germany,2195,GER2,Male,9.5,42-43,9,129,0.2,2015,2,103.2
55254,2/23/2015,United States,2215,US13,Male,10.5,43-44,10,159,0,2015,2,159
55255,2/23/2015,United States,2158,US14,Female,6.5,37,4.5,169,0,2015,2,169
55256,2/23/2015,United States,2235,US1,Male,11.5,44-45,11,169,0,2015,2,169
55257,2/23/2015,United States,2165,US7,Male,9,42,8.5,199,0,2015,2,199
55258,2/23/2015,Germany,2242,GER1,Male,10.5,43-44,10,179,0,2015,2,179
55259,2/23/2015,Canada,2178,CAN2,Male,9,42,8.5,179,0.3,2015,2,125.3
55260,2/24/2015,Germany,2160,GER2,Female,8,38-39,6,199,0.1,2015,2,179.1
55261,2/24/2015,Germany,2175,GER1,Male,9,42,8.5,159,0,2015,2,159
55261,2/24/2015,Germany,2195,GER2,Male,9.5,42-43,9,129,0.2,2015,2,103.2
55262,2/24/2015,United States,2235,US1,Male,11.5,44-45,11,169,0,2015,2,169
